"","Top temperature","Bottom temperature","Ground temperature","Soil moisture"
"Control 1","20.84 ± 0.1","22.33 ± 0.13","24.93 ± 0.06","1125.89 ± 4.48"
"OTC1","22.44 ± 0.12","25.05 ± 0.13","24.58 ± 0.05","1176.08 ± 6.32"
"PLOT 1 diff","1.61 ± 0.18","2.73 ± 0.13","-0.36 ± 0.12","NA"
"Control 2","20.4 ± 0.1","22.22 ± 0.13","22.89 ± 0.05","1569.79 ± 5.03"
"OTC2","22.62 ± 0.13","25.09 ± 0.15","26.56 ± 0.07","1167.2 ± 3.22"
"PLOT 2 diff","2.23 ± 0.22","2.86 ± 0.15","3.68 ± 0.17","NA"
"All plots diff","1.92 ± 0.2","2.8 ± 0.09","1.66 ± 0.03","NA"
